"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"",177542,2707,-2.38572,-86.79625,A,01/26/2019 20:51:29,Argos,0,120,NP,,401677387.66,01/26/2019 20:50:30,1,3,0,-133,401677387.66,-86.79625,-2.38572,-42.30867,8.1611,0,0,0,0,0,2,10767,133,131,204,106,122,38,33,5,125,169,221,250,14,42,46,38,15,31,72,97,153,144,133,121,108,94,85,84,75,2,88,
"",177542,2707,-2.38572,-86.79625,A,01/26/2019 20:51:29,Argos,0,120,NP,,401677387.66,01/26/2019 20:51:29,1,3,0,-133,401677387.66,-86.79625,-2.38572,-42.30867,8.1611,0,0,0,0,0,2,10767,217,102,91,27,0,0,204,0,0,0,0,0,0,0,0,0,0,0,20,1,247,183,0,0,0,0,0,0,243,255,252,
"",177542,2707,-2.38572,-86.79625,A,01/26/2019 20:51:29,Argos,0,120,NP,,401677387.66,01/26/2019 20:52:30,1,3,0,-133,401677387.66,-86.79625,-2.38572,-42.30867,8.1611,0,0,0,0,0,2,10767,210,92,235,27,32,0,239,191,255,0,0,0,0,51,191,255,251,255,255,255,64,0,0,,,,,,,,,
"",177542,2707,-2.38442,-86.83088,2,01/26/2019 22:35:48,Argos,0,837,NP,,401677381.58,01/26/2019 22:25:20,1,13,0,-124,401677381.58,-86.83088,-2.38442,-86.83088,-2.38442,58,3,465,2653,81,79,324,222,97,219,46,32,3,132,180,68,68,68,68,4,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,
"",177542,2707,-2.38442,-86.83088,2,01/26/2019 22:35:48,Argos,0,837,NP,,401677381.58,01/26/2019 22:26:19,1,13,0,-124,401677381.58,-86.83088,-2.38442,-86.83088,-2.38442,58,3,465,2653,81,79,324,130,91,235,46,154,18,49,5,153,218,26,70,102,130,150,170,167,18,204,33,170,163,158,150,137,115,98,82,66,2,101,
"",177542,2707,-2.38442,-86.83088,2,01/26/2019 22:35:48,Argos,0,837,NP,,401677381.58,01/26/2019 22:27:20,1,13,0,-124,401677381.58,-86.83088,-2.38442,-86.83088,-2.38442,58,3,465,2653,81,79,324,212,238,219,46,64,1,192,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,
"",177542,2707,-2.38442,-86.83088,2,01/26/2019 22:35:48,Argos,0,837,NP,,401677381.58,01/26/2019 22:28:19,1,13,0,-124,401677381.58,-86.83088,-2.38442,-86.83088,-2.38442,58,3,465,2653,81,79,324,208,115,75,46,96,0,132,0,0,0,0,0,0,0,0,0,0,4,0,0,0,64,0,0,0,0,0,0,0,0,60,
"",177542,2707,-2.38442,-86.83088,2,01/26/2019 22:35:48,Argos,0,837,NP,,401677381.58,01/26/2019 22:29:19,1,13,0,-124,401677381.58,-86.83088,-2.38442,-86.83088,-2.38442,58,3,465,2653,81,79,324,221,252,139,46,128,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,,
"",177542,2707,-2.38098,-86.81948,1,01/26/2019 22:35:48,Argos,0,418,NP,,401677380.24,01/26/2019 22:32:19,1,8,0,-124,401677380.24,-86.81948,-2.38098,-86.81948,-2.38098,58,3,747,6750,82,75,565,242,124,238,190,72,133,114,161,126,25,68,64,0,14,217,239,238,110,4,128,109,244,97,124,68,127,196,178,204,179,136,
"",177542,2707,-2.38098,-86.81948,1,01/26/2019 22:35:48,Argos,0,418,NP,,401677380.24,01/26/2019 22:33:19,1,8,0,-124,401677380.24,-86.81948,-2.38098,-86.81948,-2.38098,58,3,747,6750,82,75,565,208,183,203,46,224,35,134,212,197,53,232,146,148,176,151,155,187,185,155,183,121,216,34,34,34,34,34,34,34,34,34,
