DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
177542,177542,MiniPAT,DS,3,0,1,60,59,20:51:29 26-Jan-2019,NP,A,-2.3857,-86.7962,8.1611,-42.3087,,,401677387,-133
177542,177542,MiniPAT,DS,13,0,4,69,59,22:35:48 26-Jan-2019,NP,2,-2.3844,-86.8309,-2.3844,-86.8309,58,,401677381,-124
177542,177542,MiniPAT,DS,10,0,2,72,59,22:42:14 26-Jan-2019,SR,3,-2.3852,-86.8376,-2.3852,-86.8376,56,,401677381,-126
177542,177542,MiniPAT,DS,7,0,2,70,59,23:19:14 26-Jan-2019,NK,3,-2.3986,-86.8426,-2.3986,-86.8426,58,,401677383,-129
177542,177542,MiniPAT,DS,11,0,0,60,59,00:19:33 27-Jan-2019,SR,3,-2.4075,-86.8573,-2.4075,-86.8573,58,,401677382,-126
177542,177542,MiniPAT,DS,7,0,1,85,59,00:51:41 27-Jan-2019,NN,2,-2.4137,-86.8581,-2.4137,-86.8581,58,,401677382,-132
177542,177542,MiniPAT,DS,7,0,1,110,59,00:55:34 27-Jan-2019,NK,3,-2.4148,-86.8665,-2.4148,-86.8665,56,,401677382,-120
177542,177542,MiniPAT,DS,6,0,3,83,59,01:41:26 27-Jan-2019,MA,2,-2.4238,-86.8697,-2.4238,-86.8697,58,,401677382,-125
177542,177542,MiniPAT,DS,14,0,4,60,59,02:34:37 27-Jan-2019,NN,3,-2.4435,-86.8812,-2.4435,-86.8812,58,,401677383,-124
177542,177542,MiniPAT,DS,7,0,3,90,59,02:51:35 27-Jan-2019,MB,3,-2.4453,-86.8816,-2.4453,-86.8816,56,,401677382,-129
177542,177542,MiniPAT,DS,12,0,2,70,59,03:24:22 27-Jan-2019,MA,3,-2.4566,-86.8901,-2.4566,-86.8901,58,,401677382,-118
177542,177542,MiniPAT,DS,12,0,3,71,59,09:31:31 27-Jan-2019,NP,3,-2.5358,-86.9381,-2.5358,-86.9381,58,,401677388,-122
177542,177542,MiniPAT,DS,10,0,5,72,59,11:15:21 27-Jan-2019,SR,3,-2.5584,-86.9549,-2.5584,-86.9549,58,,401677386,-121
177542,177542,MiniPAT,DS,10,0,2,73,59,11:16:17 27-Jan-2019,NP,3,-2.5584,-86.9561,-2.5584,-86.9561,56,,401677388,-126
177542,177542,MiniPAT,DS,10,0,4,59,59,11:50:50 27-Jan-2019,NK,3,-2.5657,-86.9610,-2.5657,-86.9610,58,,401677386,-125
177542,177542,MiniPAT,DS,10,0,5,66,59,12:52:14 27-Jan-2019,SR,3,-2.5825,-86.9619,-2.5825,-86.9619,68,,401677389,-127
177542,177542,MiniPAT,DS,12,0,2,59,59,13:39:30 27-Jan-2019,NK,3,-2.5860,-86.9708,-2.5860,-86.9708,56,,401677385,-123
177542,177542,MiniPAT,DS,13,0,1,59,59,13:35:02 27-Jan-2019,NN,3,-2.5859,-86.9731,-2.5859,-86.9731,58,,401677386,-122
177542,177542,MiniPAT,DS,10,0,1,72,59,14:15:22 27-Jan-2019,MA,3,-2.5949,-86.9759,-2.5949,-86.9759,58,,401677385,-119
177542,177542,MiniPAT,DS,10,0,1,59,59,15:14:39 27-Jan-2019,NN,3,-2.6039,-86.9876,-2.6039,-86.9876,58,,401677385,-128
177542,177542,MiniPAT,DS,6,0,2,83,59,15:32:06 27-Jan-2019,MB,3,-2.6071,-86.9845,-2.6071,-86.9845,56,,401677383,-125
177542,177542,MiniPAT,DS,9,0,3,83,60,15:54:31 27-Jan-2019,MA,2,-2.6113,-86.9934,-2.6113,-86.9934,56,,401677386,-127
177542,177542,MiniPAT,DS,1,0,1,,,20:40:55 27-Jan-2019,NP,B,-2.6575,-87.0395,-2.6575,-87.0395,8,,401677389,-140
177542,177542,MiniPAT,DS,4,0,3,79,59,22:10:55 27-Jan-2019,SR,0,-2.6228,-87.0566,-2.6228,-87.0566,58,,401677374,-132
177542,177542,MiniPAT,DS,12,0,1,75,59,22:23:33 27-Jan-2019,NP,2,-2.6395,-87.0528,-2.6395,-87.0528,56,,401677381,-123
177542,177542,MiniPAT,DS,10,0,1,72,59,23:49:36 27-Jan-2019,SR,3,-2.6521,-87.0646,-2.6521,-87.0646,58,,401677381,-124
177542,177542,MiniPAT,DS,6,0,0,59,59,00:01:00 28-Jan-2019,NP,1,-2.6484,-87.0752,-2.6484,-87.0752,58,,401677380,-132
