DeployID,Ptt,Instr,Date,Duplicates,Satellite,LocationQuality,Latitude,Longitude,Reason,Possible Timestamp,Possible Type,Byte 0,Byte 1,Byte 2,Byte 3,Byte 4,Byte 5,Byte 6,Byte 7,Byte 8,Byte 9,Byte 10,Byte 11,Byte 12,Byte 13,Byte 14,Byte 15,Byte 16,Byte 17,Byte 18,Byte 19,Byte 20,Byte 21,Byte 22,Byte 23,Byte 24,Byte 25,Byte 26,Byte 27,Byte 28,Byte 29,Byte 30,Byte 31
177542,177542,MiniPAT,22:32:19 26-Jan-2019,,,2,-2.3844,-86.8309,CRC 10190.13578,,,242,124,238,190,72,133,114,161,126,25,68,64,0,14,217,239,238,110,4,128,109,244,97,124,68,127,196,178,204,179,136,
177542,177542,MiniPAT,22:49:14 26-Jan-2019,,,3,-2.3852,-86.8376,CRC 6858.9524,,TAD,145,172,171,50,128,2,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,200,0,0,,,,,
177542,177542,MiniPAT,23:13:14 26-Jan-2019,,,3,-2.3986,-86.8426,CRC 63780.60356,16:00:00 27-Dec-2018,TimeSeries,223,146,75,55,0,0,207,187,183,123,181,68,55,251,180,0,96,167,31,223,255,124,196,209,255,255,252,196,76,77,255,
177542,177542,MiniPAT,01:39:57 27-Jan-2019,,,2,-2.4238,-86.8697,CRC 48089.60821,22:00:00 10-Jan-2019,TimeSeries,219,189,156,85,96,1,114,16,0,2,0,114,102,102,26,101,0,0,0,0,2,106,171,229,0,22,102,170,170,102,32,
177542,177542,MiniPAT,02:26:40 27-Jan-2019,,,3,-2.4435,-86.8812,CRC 17189.20401,06:00:00 16-Jan-2019,TimeSeries,212,50,92,96,96,1,128,68,68,68,68,68,68,68,76,69,9,29,129,12,177,104,42,88,217,223,221,221,217,217,217,
177542,177542,MiniPAT,02:36:38 27-Jan-2019,,,3,-2.4435,-86.8812,CRC 2623.29410,22:00:00 16-Jan-2019,TimeSeries,208,163,252,97,96,1,108,0,0,0,0,0,0,0,0,0,0,0,0,1,243,43,223,166,117,208,125,177,4,42,173,
177542,177542,MiniPAT,02:38:39 27-Jan-2019,,,3,-2.4435,-86.8812,CRC 56348.54192,00:00:00 17-Jan-2019,PDT,157,193,204,98,1,0,145,81,64,177,17,97,16,113,65,75,47,161,106,140,129,234,75,9,235,34,178,89,234,0,0,
177542,177542,MiniPAT,02:48:34 27-Jan-2019,,,3,-2.4453,-86.8816,CRC 61078.17768,10:00:00 18-Jan-2019,TimeSeries,222,233,108,100,160,0,236,0,0,32,0,223,127,255,255,191,255,248,0,,,,,,,,,,,,,
177542,177542,MiniPAT,03:13:55 27-Jan-2019,,,3,-2.4566,-86.8901,CRC 2499.2179,10:40:00 03-Jan-2017,LightLoc,128,156,52,70,186,0,103,199,75,37,134,60,226,54,94,74,119,22,204,65,148,117,97,80,76,77,61,50,43,2,83,
177542,177542,MiniPAT,09:34:01 27-Jan-2019,,,3,-2.5358,-86.9381,CRC 13965.6830,18:00:00 23-Dec-2018,TimeSeries,211,104,219,47,32,3,231,119,127,4,68,68,68,77,102,164,68,68,68,68,68,68,68,68,68,68,68,68,68,69,68,
