DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
177542,177542,MiniPAT,20:51:29 26-Jan-2019,Argos,A,-2.3857,-86.7962,,,,,,,,,,
177542,177542,MiniPAT,22:35:48 26-Jan-2019,Argos,2,-2.3844,-86.8309,465,2653,81,79,,,,,,
177542,177542,MiniPAT,22:42:14 26-Jan-2019,Argos,3,-2.3852,-86.8376,232,323,166,35,,,,,,
177542,177542,MiniPAT,23:19:14 26-Jan-2019,Argos,3,-2.3986,-86.8426,211,400,111,171,,,,,,
177542,177542,MiniPAT,00:19:33 27-Jan-2019,Argos,3,-2.4075,-86.8573,158,186,133,83,,,,,,
177542,177542,MiniPAT,00:51:41 27-Jan-2019,Argos,2,-2.4137,-86.8581,257,415,159,178,,,,,,
177542,177542,MiniPAT,00:55:34 27-Jan-2019,Argos,3,-2.4148,-86.8665,244,688,86,61,,,,,,
177542,177542,MiniPAT,01:41:26 27-Jan-2019,Argos,2,-2.4238,-86.8697,348,770,156,0,,,,,,
177542,177542,MiniPAT,02:34:37 27-Jan-2019,Argos,3,-2.4435,-86.8812,185,389,88,76,,,,,,
177542,177542,MiniPAT,02:51:35 27-Jan-2019,Argos,3,-2.4453,-86.8816,139,166,115,63,,,,,,
177542,177542,MiniPAT,03:24:22 27-Jan-2019,Argos,3,-2.4566,-86.8901,197,487,79,70,,,,,,
177542,177542,MiniPAT,09:31:31 27-Jan-2019,Argos,3,-2.5358,-86.9381,203,272,151,85,,,,,,
177542,177542,MiniPAT,11:15:21 27-Jan-2019,Argos,3,-2.5584,-86.9549,162,242,107,68,,,,,,
177542,177542,MiniPAT,11:16:17 27-Jan-2019,Argos,3,-2.5584,-86.9561,225,245,205,155,,,,,,
177542,177542,MiniPAT,11:50:50 27-Jan-2019,Argos,3,-2.5657,-86.9610,154,168,141,133,,,,,,
177542,177542,MiniPAT,12:52:14 27-Jan-2019,Argos,3,-2.5825,-86.9619,223,521,95,119,,,,,,
177542,177542,MiniPAT,13:35:02 27-Jan-2019,Argos,3,-2.5859,-86.9731,149,213,103,103,,,,,,
177542,177542,MiniPAT,13:39:30 27-Jan-2019,Argos,3,-2.5860,-86.9708,186,213,161,16,,,,,,
177542,177542,MiniPAT,14:15:22 27-Jan-2019,Argos,3,-2.5949,-86.9759,162,202,128,126,,,,,,
177542,177542,MiniPAT,15:14:39 27-Jan-2019,Argos,3,-2.6039,-86.9876,197,314,123,170,,,,,,
177542,177542,MiniPAT,15:32:06 27-Jan-2019,Argos,3,-2.6071,-86.9845,168,350,80,107,,,,,,
177542,177542,MiniPAT,15:54:31 27-Jan-2019,Argos,2,-2.6113,-86.9934,332,424,260,12,,,,,,
177542,177542,MiniPAT,20:40:55 27-Jan-2019,Argos,B,-2.6575,-87.0395,7798,9054,6715,73,,,,,,
177542,177542,MiniPAT,22:10:55 27-Jan-2019,Argos,0,-2.6228,-87.0566,1931,6727,554,19,,,,,,
177542,177542,MiniPAT,22:23:33 27-Jan-2019,Argos,2,-2.6395,-87.0528,494,4337,56,76,,,,,,
177542,177542,MiniPAT,23:49:36 27-Jan-2019,Argos,3,-2.6521,-87.0646,221,766,63,101,,,,,,
177542,177542,MiniPAT,00:01:00 28-Jan-2019,Argos,1,-2.6484,-87.0752,651,1993,212,162,,,,,,
177542,177542,MiniPAT,00:35:18 28-Jan-2019,Argos,3,-2.6603,-87.0730,245,888,67,76,,,,,,
177542,177542,MiniPAT,00:38:47 28-Jan-2019,Argos,2,-2.6605,-87.0718,415,524,328,26,,,,,,
177542,177542,MiniPAT,01:20:09 28-Jan-2019,Argos,A,-2.6644,-87.0803,1590,2920,865,151,,,,,,
177542,177542,MiniPAT,02:16:55 28-Jan-2019,Argos,1,-2.6866,-87.0870,649,1755,240,50,,,,,,
177542,177542,MiniPAT,02:25:33 28-Jan-2019,Argos,3,-2.6733,-87.0774,234,288,189,118,,,,,,
177542,177542,MiniPAT,03:03:41 28-Jan-2019,Argos,2,-2.6775,-87.0736,413,3654,46,77,,,,,,
177542,177542,MiniPAT,04:03:09 28-Jan-2019,Argos,A,-2.6914,-87.0853,1537,7483,315,75,,,,,,
177542,177542,MiniPAT,04:39:04 28-Jan-2019,Argos,1,-2.6976,-87.0832,552,1444,211,147,,,,,,
177542,177542,MiniPAT,09:20:05 28-Jan-2019,Argos,3,-2.7269,-87.1080,144,163,126,22,,,,,,
177542,177542,MiniPAT,11:12:03 28-Jan-2019,Argos,B,-2.8104,-87.0963,1892,3860,927,76,,,,,,
177542,177542,MiniPAT,11:28:55 28-Jan-2019,Argos,2,-2.7353,-87.1074,369,464,293,19,,,,,,
177542,177542,MiniPAT,12:20:39 28-Jan-2019,Argos,3,-2.7374,-87.1204,159,214,118,52,,,,,,
