DeployID,Ptt,DepthSensor,Instr,SW,RTC,Received,Time Offset,LocationQuality,Latitude,Longitude,Type,HauledOut,BrokenThermistor,BrokenLink,Transmits,BattVoltage,TransmitVoltage,TransmitCurrent,Temperature,Depth,MaxDepth,ZeroDepthOffset,LightLevel,NoDawnDusk,ReleaseType,ReleaseTime,InitiallyBroken,BurnMinutes,ReleaseDepth,FastGPSPower,TWICPower,PowerLimit,WetDry,MinWetDry,MaxWetDry,WetDryThreshold,StatusWord,TransmitPower,Resets,PreReleaseTilt,PreReleaseTiltSd,PreReleaseTiltCount,XmitQueue,FastGPSLocNumber,FastGPSFailures,BattDiscon
177542,177542,0.500000,MiniPAT,2.04u,00:50:55 27-Jan-2019,00:51:03 27-Jan-2019,8,2,-2.4137,-86.8581,CRC,,,1,832,3.418,2.622,0.112,27.30,-1.0,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,01:36:50 27-Jan-2019,01:36:59 27-Jan-2019,9,2,-2.4238,-86.8697,CRC,,,1,960,3.320,2.622,0.220,27.30,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,13:34:23 27-Jan-2019,13:34:32 27-Jan-2019,9,3,-2.5860,-86.9708,CRC,,,1,1600,3.359,2.622,0.185,27.15,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,14:16:13 27-Jan-2019,14:16:22 27-Jan-2019,9,3,-2.5949,-86.9759,CRC,,,1,1600,3.379,2.622,0.146,27.20,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,15:19:00 27-Jan-2019,15:19:09 27-Jan-2019,9,3,-2.6039,-86.9876,CRC,,,1,1600,3.359,2.622,0.195,27.30,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,00:02:21 28-Jan-2019,00:02:30 28-Jan-2019,9,1,-2.6484,-87.0752,CRC,,,1,2240,3.398,2.622,0.132,27.55,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,13:11:22 28-Jan-2019,13:11:31 28-Jan-2019,9,3,-2.7405,-87.1243,CRC,,,1,2880,3.379,2.622,0.181,27.15,-1.0,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,14:35:03 28-Jan-2019,14:35:12 28-Jan-2019,9,3,-2.7503,-87.1265,CRC,,,1,3008,3.359,2.622,0.195,27.30,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,23:16:49 28-Jan-2019,23:16:58 28-Jan-2019,9,3,-2.7671,-87.1612,CRC,,,1,3520,3.398,2.622,0.171,27.95,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,01:42:52 29-Jan-2019,01:43:01 29-Jan-2019,9,3,-2.7586,-87.1706,CRC,,,1,3648,3.379,2.622,0.190,27.60,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,11:51:45 29-Jan-2019,11:51:54 29-Jan-2019,9,2,-2.7492,-87.2117,CRC,,,1,4288,3.379,2.622,0.176,27.30,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,23:42:49 29-Jan-2019,23:42:57 29-Jan-2019,8,3,-2.7284,-87.3076,CRC,,,1,5056,3.457,2.622,0.083,27.80,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,03:54:08 30-Jan-2019,03:54:17 30-Jan-2019,9,3,-2.6994,-87.3195,CRC,,,1,5312,3.398,2.622,0.156,27.45,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,15:03:38 30-Jan-2019,15:03:47 30-Jan-2019,9,1,-2.6309,-87.4055,CRC,,,1,5824,3.418,2.622,0.151,27.30,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,21:40:37 30-Jan-2019,21:40:45 30-Jan-2019,8,3,-2.5805,-87.4958,CRC,,,1,6336,3.418,2.622,0.156,27.80,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,22:22:18 30-Jan-2019,22:22:27 30-Jan-2019,9,2,-2.5771,-87.5003,CRC,,,1,6336,3.398,2.622,0.190,27.70,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
177542,177542,0.500000,MiniPAT,2.04u,02:33:59 31-Jan-2019,02:34:08 31-Jan-2019,9,3,-2.5426,-87.5588,CRC,,,1,6592,3.418,2.622,0.137,27.45,-1.5,,,,0,Pin Broke,18:02:00 26-Jan-2019,1,,0,,,,,,,,,40,,,,,,,,
