"; PTT 177542, Serial 18P0963, Run 1 - 0.25&deg; Grid Size @ 09-Apr-2019 20:21"
"; Marine @ 1.0 meters/second, Model Score 49.16"
"; 3 Status Clock Corrections, 61 Twilights, 31 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
BUM_9,177542,29-Nov-2018 20:00:00,7.55,-78.375,User,,,,,,48.8276948835235,,
BUM_9,177542,30-Nov-2018 00:00:00,7.55,-78.375,None,,,,,,,30-Nov-2018 11:10:35,30-Nov-2018 22:53:48
BUM_9,177542,30-Nov-2018 08:00:00,7.55,-78.375,SST,28,28.4333330790202,0,1281,,35.5869504599525,,
BUM_9,177542,30-Nov-2018 10:41:15,7.55,-78.375,Light - Dawn,,,48,1281,,16.4250191515459,,
BUM_9,177542,30-Nov-2018 12:00:00,7.55,-78.375,None,,,,,,,,
BUM_9,177542,30-Nov-2018 22:02:30,7.55,-78.4,Light - Dusk,,,48,1281,,98.1320905669786,,
BUM_9,177542,01-Dec-2018 00:00:00,7.55,-78.4,None,,,,,,,01-Dec-2018 11:11:09,01-Dec-2018 22:54:12
BUM_9,177542,01-Dec-2018 10:42:30,7.55,-78.425,Light - Dawn,,,48,1281,,56.8737148357912,,
BUM_9,177542,01-Dec-2018 12:00:00,7.55,-78.425,SST,28.3,28.414999961853,0,1281,,66.2899623824731,,
BUM_9,177542,01-Dec-2018 22:45:00,7.525,-78.5,Light - Dusk,,,48,1281,,97.3833900420606,,
BUM_9,177542,02-Dec-2018 00:00:00,7.525,-78.5,None,,,,,,,02-Dec-2018 11:11:59,02-Dec-2018 22:54:56
BUM_9,177542,02-Dec-2018 12:00:00,7.525,-78.6,None,,,,,,,,
BUM_9,177542,03-Dec-2018 00:00:00,7.5,-78.625,None,,,,,,,03-Dec-2018 11:12:55,03-Dec-2018 22:55:47
BUM_9,177542,03-Dec-2018 10:40:00,7.5,-78.675,Light - Dawn,,,48,3779,,79.6145576607689,,
BUM_9,177542,03-Dec-2018 12:00:00,7.5,-78.675,SST,27.9,28.7149991989136,1,3779,,19.0402669741972,,
BUM_9,177542,03-Dec-2018 22:28:45,7.475,-78.7,Light - Dusk,,,48,3779,,89.2855561761282,,
BUM_9,177542,04-Dec-2018 00:00:00,7.475,-78.7,None,,,,,,,04-Dec-2018 11:13:39,04-Dec-2018 22:56:27
BUM_9,177542,04-Dec-2018 12:00:00,7.425,-78.775,None,,,,,,,,
BUM_9,177542,05-Dec-2018 00:00:00,7.4,-78.825,None,,,,,,,05-Dec-2018 11:14:31,05-Dec-2018 22:57:25
BUM_9,177542,05-Dec-2018 10:15:00,7.375,-78.85,Light - Dawn,,,48,3800,,53.311349086183,,
BUM_9,177542,05-Dec-2018 11:00:00,7.375,-78.85,SST,27.9,28.5641660690308,1,3800,,30.8879504161529,,
