"; PTT 177542, Serial 18P0963, Run 5 - 0.25&deg; Grid Size @ 05-Jun-2019 16:53"
"; Marine @ 5.0 meters/second, Model Score 57.94"
"; 3 Status Clock Corrections, 61 Twilights, 31 SSTs, 2 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
BUM_9,177542,29-Nov-2018 20:00:00,7.45,-78.375,User,,,,,,49.9974705780295,,
BUM_9,177542,30-Nov-2018 00:00:00,7.45,-78.5,None,,,,,,,30-Nov-2018 11:10:55,30-Nov-2018 22:54:28
BUM_9,177542,30-Nov-2018 08:00:00,7.625,-78.5,SST,28,28.4333330790202,0,1281,,26.1731398114913,,
BUM_9,177542,30-Nov-2018 10:41:15,7.6,-78.75,Light - Dawn,,,48,3106,,59.5111196342148,,
BUM_9,177542,30-Nov-2018 12:00:00,7.55,-78.8,None,,,,,,,,
BUM_9,177542,30-Nov-2018 22:02:30,7.35,-78.9,Light - Dusk,,,48,3800,,85.5314364040854,,
BUM_9,177542,01-Dec-2018 00:00:00,7.35,-78.9,None,,,,,,,01-Dec-2018 11:12:49,01-Dec-2018 22:56:31
BUM_9,177542,01-Dec-2018 10:42:30,7.075,-78.975,Light - Dawn,,,48,4343,,78.7256822964595,,
BUM_9,177542,01-Dec-2018 12:00:00,6.925,-78.975,SST,28.3,28.2649993896484,0,4124,,63.5154251948302,,
BUM_9,177542,01-Dec-2018 22:45:00,7.2,-78.85,Light - Dusk,,,48,4343,,77.294528383893,,
BUM_9,177542,02-Dec-2018 00:00:00,7.2,-78.825,None,,,,,,,02-Dec-2018 11:12:45,02-Dec-2018 22:56:46
BUM_9,177542,02-Dec-2018 12:00:00,7.125,-78.875,None,,,,,,,,
BUM_9,177542,03-Dec-2018 00:00:00,6.975,-78.95,None,,,,,,,03-Dec-2018 11:13:21,03-Dec-2018 22:57:57
BUM_9,177542,03-Dec-2018 10:40:00,6.625,-78.975,Light - Dawn,,,48,3548,,73.9816665780556,,
BUM_9,177542,03-Dec-2018 12:00:00,6.55,-78.95,SST,27.9,28.1949996948242,1,3548,,44.9020680474259,,
BUM_9,177542,03-Dec-2018 22:28:45,6.95,-78.825,Light - Dusk,,,48,4124,,71.771926301578,,
BUM_9,177542,04-Dec-2018 00:00:00,7,-78.825,None,,,,,,,04-Dec-2018 11:13:22,04-Dec-2018 22:57:45
BUM_9,177542,04-Dec-2018 12:00:00,7.1,-78.925,None,,,,,,,,
BUM_9,177542,05-Dec-2018 00:00:00,7.1,-79.025,None,,,,,,,05-Dec-2018 11:14:49,05-Dec-2018 22:58:44
BUM_9,177542,05-Dec-2018 10:15:00,6.9,-79.075,Light - Dawn,,,48,3370,,65.0936139491072,,
BUM_9,177542,05-Dec-2018 11:00:00,6.85,-79.05,SST,27.9,28.2049998442332,1,3370,,46.164349998333,,
BUM_9,177542,05-Dec-2018 12:00:00,6.925,-79.025,None,,,,,,,,
BUM_9,177542,05-Dec-2018 22:26:15,7.3,-78.75,Light - Dusk,,,80,3800,,56.4747766312056,,
BUM_9,177542,06-Dec-2018 00:00:00,7.3,-78.775,None,,,,,,,06-Dec-2018 11:14:38,06-Dec-2018 22:57:45
BUM_9,177542,06-Dec-2018 12:00:00,7.25,-78.875,None,,,,,,,,
BUM_9,177542,07-Dec-2018 00:00:00,7.15,-78.925,None,,,,,,,07-Dec-2018 11:15:29,07-Dec-2018 22:58:58
BUM_9,177542,07-Dec-2018 04:00:01,7.025,-78.875,SST,28.1,28.2483335559898,0,4343,,52.6627746734435,,
BUM_9,177542,07-Dec-2018 10:40:01,7.3,-79.075,Light - Dawn,,,16,3669,,66.9136883609588,,
BUM_9,177542,07-Dec-2018 12:00:00,7.325,-79.05,None,,,,,,,,
BUM_9,177542,07-Dec-2018 22:33:46,7.5,-78.775,Light - Dusk,,,48,3800,,45.7913589176333,,
BUM_9,177542,08-Dec-2018 00:00:00,7.475,-78.8,None,,,,,,,08-Dec-2018 11:16:01,08-Dec-2018 22:58:18
BUM_9,177542,08-Dec-2018 12:00:00,7.35,-79,None,,,,,,,,
BUM_9,177542,09-Dec-2018 00:00:00,7.2,-79.175,None,,,,,,,09-Dec-2018 11:17:34,09-Dec-2018 23:00:39
BUM_9,177542,09-Dec-2018 10:42:31,7.05,-79.325,Light - Dawn,,,80,3209,,70.3810329117932,,
BUM_9,177542,09-Dec-2018 12:00:00,6.975,-79.325,None,,,,,,,,
BUM_9,177542,09-Dec-2018 12:00:01,6.975,-79.325,SST,28.1,28.3099983085526,0,3311,,46.3772076729388,,
BUM_9,177542,09-Dec-2018 22:38:46,7.075,-79.325,Light - Dusk,,,112,3209,,88.246418193714,,
BUM_9,177542,10-Dec-2018 00:00:00,7.1,-79.3,None,,,,,,,10-Dec-2018 11:18:23,10-Dec-2018 23:01:44
BUM_9,177542,10-Dec-2018 12:00:00,7.075,-79.325,None,,,,,,,,
BUM_9,177542,11-Dec-2018 00:00:00,7.05,-79.4,None,,,,,,,11-Dec-2018 11:19:13,11-Dec-2018 23:02:38
BUM_9,177542,11-Dec-2018 08:00:01,6.9,-79.525,SST,28,28.0033304590208,0,3406,,74.6545352877443,,
BUM_9,177542,11-Dec-2018 10:40:01,7.05,-79.475,Light - Dawn,,,80,3209,,68.1498434295413,,
BUM_9,177542,11-Dec-2018 12:00:00,7.05,-79.45,None,,,,,,,,
BUM_9,177542,11-Dec-2018 22:32:31,7,-79.375,Light - Dusk,,,112,3311,,83.861754254079,,
BUM_9,177542,12-Dec-2018 00:00:00,7,-79.35,None,,,,,,,12-Dec-2018 11:19:26,12-Dec-2018 23:02:57
BUM_9,177542,12-Dec-2018 12:00:00,6.875,-79.325,None,,,,,,,,
BUM_9,177542,13-Dec-2018 00:00:00,6.725,-79.375,None,,,,,,,13-Dec-2018 11:19:34,13-Dec-2018 23:03:57
BUM_9,177542,13-Dec-2018 10:40:01,6.55,-79.5,Light - Dawn,,,48,3314,,91.1141060030876,,
BUM_9,177542,13-Dec-2018 11:00:01,6.55,-79.5,SST,27.5,27.6070822650856,0,3314,,52.5817436183028,,
BUM_9,177542,13-Dec-2018 12:00:00,6.575,-79.45,None,,,,,,,,
BUM_9,177542,13-Dec-2018 22:33:46,6.5,-79.425,Light - Dusk,,,80,3289,,87.0141310466532,,
BUM_9,177542,14-Dec-2018 00:00:00,6.5,-79.4,None,,,,,,,14-Dec-2018 11:19:47,14-Dec-2018 23:04:54
BUM_9,177542,14-Dec-2018 12:00:00,6.4,-79.4,None,,,,,,,,
BUM_9,177542,15-Dec-2018 00:00:00,6.275,-79.425,None,,,,,,,15-Dec-2018 11:20:00,15-Dec-2018 23:05:50
BUM_9,177542,15-Dec-2018 10:42:32,6.3,-79.55,Light - Dawn,,,48,3326,,86.9265750285548,,
BUM_9,177542,15-Dec-2018 11:00:02,6.3,-79.55,SST,27.5,28.1683334231818,0,3326,,26.0155085801667,,
BUM_9,177542,15-Dec-2018 12:00:00,6.25,-79.55,None,,,,,,,,
BUM_9,177542,15-Dec-2018 22:17:32,6.1,-79.65,Light - Dusk,,,48,3300,,8.02181784158717,,
BUM_9,177542,16-Dec-2018 00:00:00,6.125,-79.65,None,,,,,,,16-Dec-2018 11:21:08,16-Dec-2018 23:07:28
BUM_9,177542,16-Dec-2018 12:00:00,6.25,-79.575,None,,,,,,,,
BUM_9,177542,17-Dec-2018 00:00:00,6.325,-79.525,None,,,,,,,17-Dec-2018 11:21:30,17-Dec-2018 23:07:05
